"subNum","trial_number","cuedAR","uncuedAR","responseAR","response_error","rt","shape_org","cueType","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","uncued_motion_dir","arDiff","pairAvg","cuedMotDir","pairGlobalOrg","pairMotDirSameness","pairMotDirSameness_wRandom","pairMotSame","pairMotDiff","pairMotRandom","pairSameARCat","pairAR_sameCondition","motDirComp","pairMotCoherent","pairMotDiago","id","corrCoeff","corrPval"
16592,30,-0.09266,-0.09266,-0.27799,-0.18533,2092,1,2,90,180,0,1,180,90,0,-0.09266,0,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,118,-0.09266,-0.09266,-0.32432,-0.23166,1897,4,2,0,270,0,1,270,0,0,-0.09266,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,118,-0.09266,-0.09266,-0.32432,-0.23166,1897,4,2,0,270,0,1,270,0,0,-0.09266,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,93,-0.04633,-0.04633,0.41699,0.46332,2390,3,1,180,270,0,1,180,270,0,-0.04633,0,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,1,-0.04633,-0.04633,0.41699,0.46332,1420,2,1,180,270,1,1,180,270,0,-0.04633,0,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,61,-0.04633,-0.04633,0.41699,0.46332,18406,3,2,0,270,1,1,270,0,0,-0.04633,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,108,-0.04633,-0.04633,0.41699,0.46332,1811,1,1,180,270,2,1,180,270,0,-0.04633,0,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,27,-0.04633,-0.04633,0.27799,0.32432,3706,3,1,0,90,1,1,0,90,0,-0.04633,0,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,101,-0.04633,-0.04633,0.09266,0.139,2420,4,1,270,0,2,1,270,0,0,-0.04633,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,141,-0.04633,-0.04633,0.04633,0.09266,1663,3,1,90,180,0,0,9999,9999,0,-0.04633,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,141,-0.04633,-0.04633,0.04633,0.09266,1663,3,1,90,180,0,0,9999,9999,0,-0.04633,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,25,-0.04633,-0.04633,0,0.04633,1784,3,1,0,0,2,1,0,0,0,-0.04633,0,1,1,1,1,0,0,1,1,0,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,48,-0.04633,-0.04633,-0.09266,-0.04633,1581,2,2,270,270,2,1,270,270,0,-0.04633,1,0,1,1,1,0,0,1,1,1,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,138,-0.04633,-0.04633,-0.37066,-0.32432,5331,3,1,180,270,2,0,9999,9999,0,-0.04633,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,61,0,0,0.27799,0.27799,2153,3,1,180,0,2,1,180,0,0,0,0,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,145,0,0,0.18533,0.18533,1755,2,1,0,180,1,1,0,180,0,0,0,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,145,0,0,0.18533,0.18533,1755,2,1,0,180,1,1,0,180,0,0,0,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,106,0,0,0.18533,0.18533,1938,4,1,90,180,2,1,90,180,0,0,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
